ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_19_KV,1,2,22,9,2,-3.20345114855721,-2.1837220662396,15.1822391125685,213.901452850877,114,0.0480769230769231,0.0234741784037559
01_19_KV,1,2,22,9,4,-3.16507714218836,-2.51798032732624,4.66112329945797,233.052884615385,130,0.0603448275862069,0.029535864978903
01_20_TP,1,2,37,16,1,-3.49526983127239,-1.77601114045059,10.7794977926127,209.540473090278,144,0.262135922330097,0.122171945701357
01_20_TP,1,2,37,16,3,-2.72204840579726,-1.09562942537065,11.6950313846293,221.1328125,150,0.220338983050847,0.114035087719298
01_20_TP,1,2,37,16,2,-4.6650634939935,-2.80128743257969,12.4618825077787,177.655194256757,148,0.237113402061856,0.131428571428571
01_20_TP,1,2,37,16,4,-4.27559018006908,-2.15898110722119,24.1141994514137,210.9375,142,0.486486486486487,0.262135922330097
01_21_TD,1,2,24,16,1,-5.43092874865641,-4.69327606006303,8.41869491216065,145.382254464286,140,0.171052631578947,0.087248322147651
01_21_TD,1,2,24,16,3,-3.87218190978237,-3.32594120250409,9.62504510194612,134.857382550336,149,0.144927536231884,0.0735294117647059
01_21_TD,1,2,24,16,2,-5.82416575687784,-5.04792132067517,9.14320171881665,165.134006076389,144,0.119318181818182,0.06158357771261
01_21_TD,1,2,24,16,4,-6.11909920110291,-4.79109406867156,27.4674623042162,170.416845034247,146,0.146666666666667,0.0683229813664596
01_22_GK,1,2,27,12,1,-5.65260208823833,-3.95986712907023,15.8638730881799,193.000637755102,147,0.147368421052632,0.0721649484536082
01_22_GK,1,2,27,12,3,-4.53194344792131,-4.01418473791275,4.77236539146691,166.554418103448,145,0.0714285714285714,0.0357142857142857
01_22_GK,1,2,27,12,2,-6.85768410782272,-5.82783500119539,16.8976949139015,196.308464403974,151,0.0782828282828283,0.0404172099087353
01_22_GK,1,2,27,12,4,-4.75573945549785,-4.46324971790187,2.89459402184241,184.116417253521,142,0.0625,0.032258064516129
01_23_KI,1,1,49,14,1,-2.7904787925966,-1.34730292905626,26.0934112117128,185.440582482993,147,0.471153846153846,0.273743016759777
01_23_KI,1,1,49,14,3,-2.110333982687,-0.847646798397363,22.5763747704069,154.979130993151,146,0.458015267175573,0.194805194805195
01_23_KI,1,1,49,14,2,-2.06164373310594,-1.59063852584114,5.86283238958238,193.060980902778,144,0.127450980392157,0.0666666666666667
01_23_KI,1,1,49,14,4,-1.99342397890822,-1.10528411978035,10.0972415772489,189.399245689655,145,0.221052631578947,0.107692307692308
01_24_KA,1,2,35,8,1,-4.46852136067472,-2.99543181065089,15.3248145065908,171.702665441176,136,0.285714285714286,0.166666666666667
